numero	nombre	tema	descripcion	proponente	partido	comision	fecha_turno	fecha_votacion	estado	recursos_adicionales
110	Que reforma el artículo 72 de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores, trabajo legislativo	Promover la deliberación y la eficiencia legislativa y simplificar algunos rasgos del trabajo legislativo	Jaime Fernando Cárdenas Gracia	PT	Puntos Constitucionales	4/5/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110315-VII.html#Iniciativa20
111	Reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos	diputados, senadores, trabajo legislativo	Eliminar los periodos de receso del Congreso de la Unión, de tal manera que se sesione todo el año	Marcos Pérez Esquer	PAN	Puntos Constitucionales	4/5/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110315-VII.html#Iniciativa22
112	Que reforma el artículo 79 de la Constitución Política de los Estados Unidos Mexicanos	control legislativo, fiscalización	Incluir los principios de certeza, independencia y objetividad en la función de fiscalización, y regular la Auditoría Superior de la Federación	Alejandro Gertz Manero	Convergencia	Puntos Constitucionales	4/5/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110331-VII.html#Iniciativa9
113	Que reforma los artículos 69 de la Constitución Política de los Estados Unidos Mexicanos y 7o. de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos	Poder Ejecutivo, rendición de cuentas	Regular el protocolo y el formato de presentación del informe escrito del Presidente, así como el proceso de revisión.	Miguel Angel García Granados	PRI	Puntos Constitucionales, Régimen, Reglamentos y Prácticas Parlamentarias	4/5/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/mar/20110331-VII.html#Iniciativa5
114	Que reforma el artículo 93 de la Constitución Política de los Estados Unidos Mexicanos	control legislativo, rendición de cuentas	Establecer el plazo en que los secretarios de Estado y el procurador general de la República deberán rendir cuentas ante el Congreso	Juan Gerardo Flores Ramírez	PVEM	Puntos Constitucionales	4/7/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110407-VII.html#Iniciativa5
115	Que reforma el artículo 122 de la Constitución Política de los Estados Unidos Mexicanos	trabajo legislativo	Eliminar la figura legal de la cláusula de gobernabilidad en la integración de la ALDF	Juan José Guerra Abud	PVEM	Puntos Constitucionales	4/7/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110407-VII.html#Iniciativa9
116	Que reforma y adiciona diversas disposiciones del Código Federal de Instituciones y Procedimientos Electorales, en materia de administración de los tiempos del Estado en radio y televisión, recuento de votos, voto de los mexicanos en el extranjero y el procedimiento especial sancionador.	elecciones, publicidad	Regular la promoción de los programas de gobierno durante los periodos electorales, y limitar el uso de publicidad en los medios de comunicación	Gastón Luken Garza	PAN	Gobernación	4/7/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110407-VII.html#Iniciativa3
117	Que adiciona los artículos 93 de la Constitución Política de los Estados Unidos Mexicanos y 25 de la Ley Orgánica de la Administración Pública Federal.	congreso, administración pública federal	Facultar a los congresos locales para solicitar la comparecencia de los delegados de las secretarías de la APF cuando se discuta una ley	Congreso del estado de Coahuila	Congreso del estado de Coahuila	Gobernación, Puntos Constitucionales	4/12/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110412-VII.html#Iniciativa7
118	Que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos	reforma política, participación social	Reforma política que incluye iniciativas ciudadanas, candidaturas independientes, iniciativa preferente, ratificación de funcionarios, consulta popular	Senadores	Senadores	Gobernación, Puntos Constitucionales	4/28/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110428-XII.pdf
119	Reforma y adiciona diversas disposiciones de la Ley Agraria y de la Ley de Desarrollo Rural Sustentable.	desarrollo rural 	Ejidos, comunidades y organizaciones de productores podrán elaborar planes de desarrollo rural sustentable y propuestas de políticas públicas	Óscar García Barrón	PRI	Desarrollo Rural, Reforma Agraria	4/29/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/abr/20110426-VII.html#Iniciativa6
