10/13/11	CONTRATACIONES DEL ESTADO DEC.LEG.1017/MODIFICA LA LEY DE...	Propone incorporar el artículo 43-A al Decreto Legislativo N° 1017, Ley de Contrataciones del Estado, respecto a la capacidad máxima de contratación de empresas nacionales y extranjeras	80
09/30/11	ESPECTÁCULOS:DEPORTIVOS PROFESIONALES/LEY CONTRA LA VIOLENCIA EN...	Propone Ley contra la violencia en espectáculos deportivos profesionales.	80
09/21/11	RESOLUCIÓN LEGISLATIVA QUE INCORPORA EL CONFLICTO DE INTERESES EN LA FUNCIÓN CONGRESAL	Se propone incorporar el inciso e) en el artículo 20°, los incisos i) y j) en el artículo 23° y los artículos 23-A°, 23-B° y 23-C° del Reglamento del Congreso, referente a conflictos de intereses en la función congresal.	80
09/19/11	LEY DE LA NUEVA EMPRESA	Ley de la Nueva Empresa	80
09/19/11	CÓDIGO:PENAL INCORPORA ARTÍCULO 315-A, TÍTULO XIV/DELITOS CONTRA LA TRANQUILIDAD PÚBLICA	Propone incorporar en el Capítulo I del Título XIV del Libro Segundo: Parte Especial del Código Penal, el artículo 315-A° que tipifica delito de grave perturbación de la tranquilidad pública-terrorismo blanco.	80
09/13/11	LEY DE SANEAMIENTO DE DEUDA MUNICIPAL CON ENTIDADES DEL ESTADO	Establece el Programa de Saneamiento de Deuda Municipal con Entidades del Estado (SADEME) destinado a crear los mecanismos necesarios para reestructurar las deudas que los gobiernos locales mantienen con el Seguro Social de Salud -ESSALUD, la Oficina de Normalización Previsonal -ONP la Superintendencia Nacional de Administración Tributaria -SUNAT.	80
11/8/11	PENSIONES:DE GRACIA L. 27747/REGULA EL OTORGAMIENTO DE LAS..	Propone modificar el artículo 2° de la Ley N° 27747 regulando el otorgamiento de pensiones de gracia a los deportistas calificados de alto nivel que se encuentren en retiro y que hayan logrado importantes lauros para el país.	80
11/8/11	LEY QUE PRIORIZA LA ASIGNACIÓN PROGRESIVA DE PLAZAS DE EDUCACIÓN..	Propone priorizar la asignación progresiva de plazas docentes de educación física en el nivel primaria.	80
3/8/11	RESOLUCIÓN LEGISLATIVA QUE MODIFICA LOS ARTÍCULOS 2, 23, 35 Y 52 DEL REGLAMENTO DEL CONGRESO	e propone modificar los artículos 2, 23, 35, y 52 del Reglamento del Congreso de la República	80
3/11/11	SISTEMA NACIONAL DE COOPERACIÓN POPULAR/CREA	Propone una Ley que acerque el Estado a la comunidad rural y personas que viven alejadas de la economía regional y nacional, estableciendo las disposiciones que garantice la organización y funcionamiento del Sistema Nacional de Cooperación Popular descentralizado del Gobierno Nacional, Gobiernos Regionales y Gobiernos Locales.	88
3/11/11	LEY QUE PROHIBE LA CONCILIACIÓN EN VIOLENCIA FAMILIAR	Prohíbase la conciliación en los procesos judiciales por violencia familiar. En los procesos de faltas contra la pesona derivadas de violencia familiar no se aceptará el desistimiento ni la transacción	88
10/20/11	MÁQUINAS:TRAGAMONEDAS/LEY QUE FORTALECE LAS LABORES DE CONTROL..	Propone modificar la primera disposición final de la Ley 27796, Ley que modifica artículos de la Ley 27153, que regula la explotación de los juegos de casino y máquinas tragamonedas.	88
10/18/11	LEY QUE RESTITUYE LA EXONERACIÓN DEL IGV, IPM E IMPUESTO A LA RENTA A FAVOR	Propone restituir la exoneración del Impuesto General a las Ventas, Impuesto a la Promoción Municipal e Impuesto a la Renta hasta el 31 de diciembre de 1996, a los Productores Agrarios cuyas ventas anuales no superen las 50 UIT.	88
12/10/11	EJECUCIÓN COACTIVA: L.26979/MODIFICA ART. LEY DE PROCEDIMIENTO ...	Propone modificar el inciso a) del artículo 2 y el artículo 23.4 de la Ley de Procedimiento de Ejecución Coactiva-Ley N° 26979.	88
12/10/11	TRANSPORTE:URBANO/DERECHO A PASES LIBRES Y PASAJES DIFERENCIADOS	Propone lograr la plena efectividad de la Ley Nº 26271, Ley que norma el derecho a pases libres y pasajes diferenciados cobrados por las empresas de transporte urbano e interurbano de pasajeros, así como establecer infracciones y sancionar el incumplimiento de las obligaciones que corrresponde a dichas empresas.	88
6/10/11	MERCADO:EL PROGRESO,TRUJILLO/PRORROGA PLAZO PARA	Propone prorrogar plazo para la construcción del mercado autogestionario 'El Progreso' de Trujillo.	88
5/10/11	ESPECTÁCULOS DEPORTIVOS L.26830/MODIFICA LEY SEGURIDAD PÚB.EN...	Ley que modifica e incorpora artículos a la Ley 26830, Ley de Seguridad y Tranquilidad Pública en Espectáculos Deportivos.	88
5/10/11	CÓDIGO:PROCESAL PENAL 135°/MANDATO DE DETENCIÓN	Propone modificar el artículo 135° del Código Procesal Penal, referente a mandato de detención	88
