Sexo,Nombre,Apellidos,Partido,Tipo de elección,Entidad,Distrito,Circunscripción,Teléfono,Extensión,Correo electrónico,Twitter,Comisiones,Bio,Suplente Nombre,Suplente Apellido
F,Luisa María,Alcalde Luján ,Movimiento Ciudadano,Representación proporcional,Distrito Federal,,4,,,,@LuisaAlcalde,,,Laura Patricia,Romo Castorena
F,Martha Beatriz,Córdova Bernal ,Movimiento Ciudadano,Representación proporcional,Chihuahua,,1,,,,,,,Mónica,Becerra Moreno
M,José Francisco,Coronato Rodríguez,Movimiento Ciudadano,Mayoría relativa,Morelos,1,,,,,,,,Héctor Eduardo ,Anaya Pérez
M,Jorge Federico,de la Vega Membrillo,Movimiento Ciudadano,Mayoría relativa,México,38,,,,,,,,Miguel Alfonso ,Vildosola Lacarra
M,Francisco Alfonso,Durazo Montaño ,Movimiento Ciudadano,Representación proporcional,Sonora,,1,,,,,,,Beatriz Ariana ,Flores Alvarado
F,Merilyn,Gómez Pozos,Movimiento Ciudadano,Representación proporcional,Jalisco,,1,,,,,,,Ricardo ,Medina Fierro
F,Zuleyma,Huidobro González ,Movimiento Ciudadano,Representación proporcional,Puebla,,4,,,,@ZuleymaHuidobro,,,Virginia Victoria ,Martínez Gutiérrez
M,José Antonio,Hurtado Gallegos,Movimiento Ciudadano,Mayoría Relativa,Distrito Federal,5,,,,,,,,Juan Andrés,Sollano García
M,Víctor Manuel,Jorrin Lozano,Movimiento Ciudadano,Mayoría Relativa ,Guerrero,4,,,,,,,,Martín ,Plascencia Ávila
M,Juan Luis,Martínez Martínez,Movimiento Ciudadano,Mayoría relativa,Oaxaca,2,,,,,,,,Fausto,Gallardo García
M,Ricardo Sóstenes,Mejía Berdeja,Movimiento Ciudadano,Representación proporcional,Guerrero,,4,,,,,,,Alejandra,Herrera Soto
M,Ricardo,Monreal Ávila ,Movimiento Ciudadano,Representación proporcional,Distrito Federal,,4,,,,@RicardoMonrealA,,,Martha Guadalupe ,Villarreal Rangel
M,Juan Ignacio,Samperio Montaño,Movimiento Ciudadano,Representación proporcional,México,,5,,,,,,,Heidy Guadalupe,Heidy Guadalupe
M,José,Soto Martínez,Movimiento Ciudadano,Mayoría relativa,Oaxaca,1,,,,,,,,Luisa Del Carmen,Zapata Barredo
F,Aída Fabiola,Valencia Ramírez,Movimiento Ciudadano,Mayoría relativa,Oaxaca,10,,,,,,,,Erika Del Carmen ,Ramagnoli Sosa
M,José Luis,Valle Magaña,Movimiento Ciudadano,Representación proporcional,Jalisco,,1,,,,,,,Leticia P,Pérez Gusman
F,Nelly del Carmen,Vargas Pérez ,Movimiento Ciudadano,Representación proporcional,Tabasco,,3,,,,,,,,
M,Fernando,Bribiesca Sahagún ,Nueva Alianza,Representación proporcional,Guanajuato,,2,,,,,,,Ángel ,Domínguez Gutiérrez
M,José Angelino,Caamal Mena ,Nueva Alianza,Representación proporcional,Campeche,,3,,,,,,,Eliseo ,Maheda López
F,María Sanjuana,Cerda Franco ,Nueva Alianza,Representación proporcional,Nuevo León,,2,,,,,,,Adriana,Fonseca García
M,Rubén Benjamín,Félix Hays ,Nueva Alianza,Representación proporcional,Sinaloa,,1,,,,,,,Levi Miroslava,Martínez Cruz
M,René Ricardo,Fujiwara Montelongo ,Nueva Alianza,Representación proporcional,Distrito Federal,,4,,,,,,,Silvia ,Torreblanca Alfaro
F,Lucila,Garfias Gutiérrez,Nueva Alianza,Representación proporcional,México,,5,,,,,,,Mario Francisco ,Guillén Guillén
M,Luis Antonio,González Roldán ,Nueva Alianza,Representación proporcional,México,,5,,,,,,,Carla Ibeth ,Pedrero Espinoza
F,Cristina,Olvera Barrios ,Nueva Alianza,Representación proporcional,Distrito Federal,,4,,,,,,,Esperanza ,Avendaño López
F,Sonia,Rincón Chanona ,Nueva Alianza,Representación proporcional,Chiapas,,3,,,,,,,Ramón,García Matus
F,Dora María Guadalupe,Talamante Lemas ,Nueva Alianza,Representación proporcional,Sonora,,1,,,,,,,Lydia Del Carmen,Abarca Pinzón
M,Rafael,Acosta Croda,Partido Acción Nacional,Mayoría relativa,Veracruz,12,,,,,,,,Priscila María,Acosta Villalpando
M,Juan Pablo,Adame Alemán,Partido Acción Nacional,Representación proporcional,Morelos,,4,,,,,,,Lisbeth,Alonso Carreón
F,Aurora de la Luz,Aguilar Rodríguez,Partido Acción Nacional,Representación proporcional,Tlaxcala,,4,,,,,,,José Antonio,Badia San Martín
M,Marcos,Aguilar Vega,Partido Acción Nacional,Mayoría relativa,Querétaro,3,,,,,,,,María Esther ,Martínez Rivera
M,Felipe de Jesús,Almaguer Torres,Partido Acción Nacional,Mayoría Relativa,San Luis Potosí,6,,,,,,,,Jesús,Aguilar Bueno
M,Humberto,Alonso Morelli,Partido Acción Nacional,Mayoría relativa,Veracruz,4,,,,,,,,Mariam Carolina,Abdo Fierro
F,Martha Berenice,Álvarez Tovar,Partido Acción Nacional,Representación proporcional,Michoacán,,5,,,,,,,Sigifredo,Galaz Varela
M,Ricardo,Anaya Cortés,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,,,,Ricardo ,Peña Parra
M,José Guillermo,Anaya Llamas,Partido Acción Nacional,Representación proporcional,Coahuila,,2,,,,,,,Rosalba,Loya García
M,Carlos Fernando,Angulo Parra,Partido Acción Nacional,Mayoría Relativa,Chihuahua,3,,,,,,,,María de Lourdes ,Flores Treviño
M,Juan Jesús ,Aquino Calvo,Partido Acción Nacional,Representación proporcional,Chiapas,,3,,,,,,,Karina Yanet ,Ríos Ornelas
F,Consuelo,Argüelles Loya,Partido Acción Nacional,Representación proporcional,Nuevo León,,2,,,,,,,Amparo ,Villanueva Cruz
M,Xavier,Azuara Zúñiga,Partido Acción Nacional,Mayoría Relativa,San Luis Potosí,5,,,,,,,,Alfio,Vega de la Peña
M,Omar Antonio,Borboa Becerra,Partido Acción Nacional,Mayoría Relativa,Jalisco,10,,,,,,,,Teodoro,Arguijo Hernández
M,José Alfredo,Botello Montes,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,,,,Rocío ,Vázquez Hernández
M,Juan,Bueno Torio,Partido Acción Nacional,Representación proporcional,Veracruz,,3,,,,,,,Angela,Anchondo Rivera
M,Juan Francisco,Cáceres de la Fuente,Partido Acción Nacional,Representación proporcional,Tabasco,,3,,,,,,,Luis Fernando ,Mancilla Fuentes
M,Rubén,Camarillo Ortega,Partido Acción Nacional,Representación proporcional,Aguascalientes,,2,,,,,,,Dunia Eliane,de la Vega Preciado
M,Gabriel,Cárdenas Guízar,Partido Acción Nacional,Mayoría relativa,Veracruz,17,,,,,,,,Carmen Alicia,Vera Juárez
M,Genaro,Carreño Muro,Partido Acción Nacional,Mayoría Relativa,Guanajuato,8,,,,,,,,Juan de Jesús,Hernández Ramírez
M,Carlos Humberto,Castaños Valenzuela,Partido Acción Nacional,Representación proporcional,Sinaloa,,1,,,,,,,José Fred ,Guerrero Balanzar
M,Sergio Augusto ,Chan Lugo,Partido Acción Nacional,Representación proporcional,Yucatán,,3,,,,,,,Pedro,González Hinojosa
M,Alberto,Coronado Quintanilla,Partido Acción Nacional,Mayoría Relativa,Nuevo León,6,,,,,,,,Joel,Miranda Martínez
M,Gerardo Maximiliano,Cortázar Lara,Partido Acción Nacional,Representación proporcional,Distrito Federal,,4,,,,,,,Ricardo Janecarlo,Lozano Reynoso
M,Isaías,Cortés Berumen,Partido Acción Nacional,Representación proporcional,Jalisco,,1,,,,,,,Mónica Patricia,Rojas Hernández
F,Eufrosina ,Cruz Mendoza,Partido Acción Nacional,Representación proporcional,Oaxaca,,3,,,,,,,José Cruz,Picazo Sánchez
M,Mario Alberto,Dávila Delgado,Partido Acción Nacional,Mayoría relativa,Coahuila,3,,,,,,,,Rafael,Guerrero Domínguez
M,Andrés ,de la Rosa Anaya,Partido Acción Nacional,Representación proporcional,Baja California,,1,,,,,,,Santos,Hinojosa López
M,Arturo ,De La Rosa Escalante,Partido Acción Nacional,Mayoría Relativa,Baja California Sur,2,,,,,,,,Erwin Francisco,Arriola Doroteo
M,Alberto,Díaz Trujillo,Partido Acción Nacional,Mayoría Relativa,México,15,,,,,,,,Agustín,Palizada Valencia
M,Rodolfo ,Dorador Pérez Gavilán,Partido Acción Nacional,Representación proporcional,Durango,,1,,,,,,,Martha Ofelia ,Zamarripa Rivas
M,Enrique Alejandro,Flores Flores,Partido Acción Nacional,Representación proporcional,San Luis Potosí,,2,,,,,,,Ana,Torres Landa Hernández
M,Víctor Osvaldo,Fuentes Solís,Partido Acción Nacional,Mayoría Relativa,Nuevo León,4,,,,,,,,Armando Tiófanes,Coutiño Núñez
M,David Cuauhtémoc,Galindo Delgado,Partido Acción Nacional,Mayoría relativa,Sonora,2,,,,,,,,Juan Martín,Martínez Cuevas
M,Carlos Alberto,García González,Partido Acción Nacional,Mayoría relativa,Tamaulipas,4,,,,,,,,Erica,Hernández Cabrera
M,José Guadalupe,García Ramírez,Partido Acción Nacional,Mayoría relativa,Querétaro,4,,,,,,,,Rebeca ,Peralta León
F,Mariana Dunyaska ,García Rojas,Partido Acción Nacional,Representación proporcional,Veracruz,,3,,,,,,,Rebeca ,Peralta León
M, Juan Manuel ,Gastélum Buenrostro,Partido Acción Nacional,Mayoría Relativa,Baja California,5,,,,,@JmGastelumB ,,,Hugo,Sandoval Martínez
M,Raúl,Gómez Ramírez,Partido Acción Nacional,Mayoría Relativa,Guanajuato,10,,,,,,,,Nury Delia,Ruiz Ovando
F,Lázara Nelly,González Aguilar,Partido Acción Nacional,Representación proporcional,Tamaulipas,,2,,,,,,,Fidel,Bazán Tenorio
F,Adriana,González Carrillo,Partido Acción Nacional,Representación proporcional,México,,5,,,,,,,Miguel Ángel ,Hernández Hernández
M,Víctor Rafael ,González Manriquez,Partido Acción Nacional,Representación proporcional,Oaxaca,,3,,,,,,,Sandra Areli ,Barrón Martínez
M,José,González Morfín,Partido Acción Nacional,Representación proporcional,Michoacán,,5,,,,,,,Gerardo David,Rodríguez López
M,José Ángel ,González Serna,Partido Acción Nacional,Mayoría Relativa,Aguascalientes,3,,,,,,,,Diana Paulina,Osorio Moreno
M,Néstor Octavio,Gordillo Castillo,Partido Acción Nacional,Mayoría relativa,Puebla,12,,,,,,,,Alicia Guadalupe,Gamboa Martínez
M,Martín Alonso,Heredia Lizárraga,Partido Acción Nacional,Mayoría relativa,Sinaloa,8,,,,,,,,Jaqueline ,del Río López
F,Blanca,Jiménez Castillo,Partido Acción Nacional,Mayoría relativa,Puebla,9,,,,,,,,Luis Alfredo ,Valles Mendoza
F,Raquel,Jiménez Cerillo,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,,,,Eduardo ,Solís Nogueira
F,María Teresa,Jiménez Esquivel,Partido Acción Nacional,Mayoría relativa,Aguascalientes,2,,,,,@TereJimenezE ,,Politóloga y doctorante en Derecho.,Ma. Matilde,Martínez Orta
F,Karina,Labastida Sotelo,Partido Acción Nacional,Representación proporcional,México,,5,,,,,,,Brisa Esmeralda,Céspedes Ramos
M,Fernando,Larrazábal Bretón,Partido Acción Nacional,Mayoría Relativa,Nuevo León,10,,,,,,,,Melania,Reynoso Navarro
F,Margarita,Licea González,Partido Acción Nacional,Representación proporcional,Jalisco,,1,,,,,,Licenciatura y maestría en derecho. Fue abogada para varias empresas. ,Virgina ,Barajas Monjarás
M,José Alejandro,Llanas Alba,Partido Acción Nacional,Mayoría relativa,Tamaulipas,3,,,,,,,,Viridiana Lizette,Espino Cano
M,José Martín,López Cisneros,Partido Acción Nacional,Mayoría relativa,Nuevo León,7,,,,,,,,Matilde Alejandra ,Rosas Escobar
F,Leticia,López Landero,Partido Acción Nacional,Mayoría relativa,Veracruz,16,,,,,,,,Norma Elena ,Rangel Pacheco
M,Raudel,López López,Partido Acción Nacional,Representación proporcional,Aguascalientes,,2,,,,,,,,
F,Alejandra,López Noriega,Partido Acción Nacional,Mayoría relativa,Sonora,3,,,,,,,,Verónica,González Gómez
M,Julio César,Lorenzini Rangel,Partido Acción Nacional,Mayoría relativa,Puebla,10,,,,,,,,Ma. Patricia,Alonso Mata
F,Patricia ,Lugo Barriga,Partido Acción Nacional,Representación proporcional,Colima,,5,,,,,,,Yatziri,Mendoza Jiménez
M,Rafael Alejandro,Micalco Méndez,Partido Acción Nacional,Representación proporcional,Puebla,,4,,,,,,,Concepción,Flores Pérez
F,María Guadalupe ,Mondragón González,Partido Acción Nacional,Representación proporcional,México,,5,,,,,,,Fernando ,Olivares Ramos
F,Tania Margarita ,Morgan Navarrete,Partido Acción Nacional,Representación proporcional,Sinaloa,,1,,,,,,,Maribel,Serrano Domínguez
M,Juan Carlos ,Muñoz Márquez,Partido Acción Nacional,Representación proporcional,Guanajuato,,2,,,,,,,Ignacio ,Ramírez Juárez
M,Heberto ,Neblina Vega,Partido Acción Nacional,Representación proporcional,Sonora,,1,,,,,,,José,Adán Abellaneda
M,Homero Ricardo,Niño de Rivera Vela,Partido Acción Nacional,Mayoría Relativa,Nuevo León,1,,,,,,,,Eduardo Enrique,Domínguez Maganda
M,José Luis,Oliveros Usabiaga,Partido Acción Nacional,Mayoría Relativa,Guanajuato,14,,,,,,,,Arturo,López Sugia
M,Marcelino,Orta Coronado,Partido Acción Nacional,Mayoría relativa,Tamaulipas,7,,,,,,,,Roberto,Cabrera Solís
F,María Isabel,Ortíz Mantilla,Partido Acción Nacional,Mayoría Relativa,Puebla,11,,,,,,,,José,Higuera Fuentes
M,Máximo,Othón Zayas,Partido Acción Nacional,Mayoría relativa,Sonora,7,,,,,,,,,
M,J. Jesús ,Oviedo Herrera,Partido Acción Nacional,Mayoría Relativa,Guanajuato,13,,,,,,,,Víctor Efigenio,Martín Cristóbal
M,Germán,Pacheco Díaz,Partido Acción Nacional,Mayoría relativa,Tamaulipas,8,,,,,,,,Manuel Francisco,Tapia Bustos
F,Leslie,Pantoja Hernández,Partido Acción Nacional,Representación proporcional,Sonora,,1,,,,,,,Amanda,García García
M,Raúl,Paz Alonso,Partido Acción Nacional,Mayoría relativa,Yucatán,4,,,,,,,,José Luis,González León
F,Flor de María ,Pedraza Aguilera,Partido Acción Nacional,Representación proporcional,Distrito Federal,,4,,,,,,,Rosa Guadalupe,Chávez Acosta
M,Francisco,Pelayo Covarrubias,Partido Acción Nacional,Mayoría Relativa,Baja California Sur,1,,,,,,,,Rocío,Ruiz de la Barrera
M,Gerardo,Peña Avilés,Partido Acción Nacional,Mayoría relativa,Sinaloa,2,,,,,,,,Alicia Asunción,Grande Olguín
